tipo,unidad,clase,descripcion,modelo,proveedor1,moneda1,fecha1,proveedor2,precio2,fecha2,proveedor3,precio3,fecha3,precio1,marca,moneda2,moneda3
CHAROLAS Y ACCESORIOS,Pza,material,"Curva Vertical Exterior De 6"" A 90�",VEZ-06R08901A,Soportes Electricos,MXN,28/01/2025,,0,,,0,,200,Soportes Electricos,MXN,MXN
CABLE PARA SISTEMA DE TIERRAS,mts,material,"Cable Monopolar Desnudo AWG 1/0, Semiduro, 7 Hilos.VK",AET2,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,12/30/1899,,,0,,179,Viakon,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Variador de velocidad Trifasico hibrido Serie 100 de 380-440 vac de 30 HP (22 kW), corriente de salida 45 amps",HNC-HV100-022G3,SERVI CNC,USD,17/03/2026,,12/30/1899,,,0,,856,HNC Electric,,
CONDULETS Y ACCESORIOS,Pza,material,"Cople CPVC Cedula 80 De 1""",829-010C,PVC G3,MXN,15/04/2025,,12/30/1899,,,0,,70,SERROT,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Variador Powerflex 523 AC Drive 480 VAC, 3 Fases, 5Hp, 10.5A, 4kW, IP20 Nema, Con Filtro",25A-D010N114,RISOUL,USD,04/02/2025,,0,,,0,,952,Allen Bradley,,
CABLES DE FUERZA,mts,material,Cable de fuerza RV-K 4G10 MM2 8 AWG 0.6/1 KV,6204010,NORDEN KABEL,USD,27/02/2025,,1899-12-30,,,0,,8,RCT,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Point I/O 1734 Base Para Montaje De M�dulos Flex I/O,1734-TBS,RISOUL,USD,06/03/2026,,12/30/1899,,,0,,25,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete acero inoxidable, de 500x500x210 mm, con platina, IP66",ASR0505021,RISOUL,USD,05/11/2024,,1899-12-30,,,0,,391,Hoffman,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"UPS On-Line Doble Conversion, Bypass Electronico/Automatico, capacidad 10,000VA / 10,000Watts, Tiempo de respaldo: 0 minutos.",UPS-IND HF 1310 M1,Industronic,USD,23/10/2025,,0,,,0,,4.425,Industronic,,
CHAROLAS Y ACCESORIOS,Pza,material,"Curva Horizontal 90� de 36""",VHZ-36R08901A,Soportes Electricos,MXN,24/01/2025,,1899-12-30,,,0,,330,Soportes El�ctricos,,
HERRAJES DE FIJACI�N,Pza,material,"Abrazadera unicanal para tubo conduit Pared Gruesa 3/4""",CHB2009PA,BRICOS (MAYOREO ELECTRICO),MXN,18/02/2026,COEL (Material y equipo electrico),12/30/1899,04/10/2024,,0,,13,Crouse Hinds,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomagnetico HJXD 3P 400 A 600 V, 65 kA",HJXD63B400,wesco,MXN,11/08/2025,,1899-12-30,,,0,,25.347,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Canaleta paso 4/6 de 80x100 mm,1SET411020R0000,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,26/03/2026,,0,,,0,,340,ABB,,
SISTEMA NEUMATICO,Pza,equipos y componentes,Bloque Distribuidor FR de 1/2,FR-4-1/2-B,RISOUL,MXN,26/11/2024,,1899-12-30,,,0,,940,FESTO,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Pantalla SIMATIC TP700 COMFORT 7"" PROFINET Y MPI/DP 24 V DC",6AV2124-0GC01-0AX0,,,,,0,,,0,,0,SIEMENS,,
TUBERIA CONDUIT,Pza,material,"Codo Conduit De Aluminio Con Recubrimiento De PVC De 1-1/4"", CH.",3341593,BRICOS (MAYOREO ELECTRICO),MXN,14/07/2025,,12/30/1899,,,0,,3.036,Crouse Hinds,,
CABLES DE CONTROL,Pza,material,Cable deEncoder 5 Mts,MR-J3ENSCBL5M-H,ULTATEK,USD,09/07/2024,,12/30/1899,,,0,,114,MITSUBISHI,,
CABLES DE FUERZA,mts,material,"Cable monopolar calibre 2 AWG THHW-LS 90 �C, 600V color negro",SLYW17,BRICOS (MAYOREO ELECTRICO),MXN,29/01/2026,SURTIDOR ELECTRICO,0,24/04/2024,,0,,160,Viakon,MXN,
CONDULETS Y ACCESORIOS,Pza,equipos y componentes,Socket De Conexi�n Tornillo Para Timer Multifuncional,P3GA-11,ACOMEE,MXN,26/11/2024,,0,,,0,,650,OMRON,,
ACCESORIOS PARA CABLES,Licencia,equipos y componentes,Historian SE 5000 Tags Perpetual (incluye mantenimiento por 1 a�o),9518M-HST5KT41,RISOUL,USD,03/03/2025,,0,,,0,,39.825,Allen Bradley,,
ACCESORIOS Y CONSUMIBLES,Kit,material,Materiales y Componentes Hidraulicos Para Mordazas en Chuck de Sierra�Submarino,tg-mych1,Memain,MXN,12/06/2025,,0,,,0,,54,Memain,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Pieza De Ensamblaje E-Cu PE/PEN 30X10MM,9686539,BRICOS (MAYOREO ELECTRICO),MXN,13/10/2025,,0,,,0,,1.529,Rittal,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Gabinete Metalico De 2000X1000X500 mm Incluye Platina Y Pasacables,P2K20105,RISOUL,USD,05/02/2025,,12/30/1899,,,0,,1.442,Hoffman,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"UPS 1600, 10A Sai Alimentacion VIn 24vdc, out 24DC",6EP4134-3AB00-0AY0,wesco,USD,17/06/2025,,0,,,0,,6.35,SIEMENS,,
HARDWARE Y SOFTWARE,Pza,equipos y componentes,"Monitor LED BenQ de 23.8"" Resolucion de 1920x1080 (full HD 1080p),100HZ",GW2490,PCEL,MXN,12/03/2025,,12/30/1899,,,0,,2.2,BenQ,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Relevador de sobrecarga trif�sico B�sico E100, Rango 1.0-5.0A",193-1EFCB,RISOUL,MXN,05/03/2026,,0,,,0,,1.315,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Porta fusible tipo SIHA 3/G20/LD 60-150V para clema WTR 2.5/SI, con LED",7921590000,,,,,12/30/1899,,,0,,0,WEIDM�LLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Kit De Montaje Platina Al Fondo,EA5100,,,,,0,,,0,,0,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Block de distribuci�n 1IN/1 OUT - 115A (14-2 AWG),9080LBA361101,,,,,12/30/1899,,,0,,0,SQUARE D,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Variador Allen Bradley Power Flex 755-480 150HP_HD 200A IP20, Sin HIM, con filtro CE-con transistor de freno",20G1AND248JA0NNNNN,RISOUL,USD,01/12/2024,,12/30/1899,,,0,,23.513,Allen Bradley,,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,Molde Exotermico Conexion En X Horizontal A Tope Tipo XA (Cable Cal. 250-Cable Cal. 250),XAC2V2V,ELECTRICA RIMAR,USD,13/03/2025,,0,,,0,,160,Burndy,,
CABLES DE CONTROL,mts,material,Cable para se�ales an�logas de 4x18 con Pantalla y Dren,TG-XX-CANALOG4X18-PD,,,,,0,,,0,,0,Sin especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Miniature Circuit Breaker 1 Pole, Curve C, 10A",1492-SPM1C100,RISOUL,USD,06/03/2026,,12/30/1899,,,0,,35,Allen Bradley,,
CONDULETS Y ACCESORIOS,Pza,material,"Codo Conduit 90� de PVC Uso Pesado de 2""",208068,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,12/30/1899,,,0,,50,DEPLAYUSA,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Switch Administrable 5200 De 18 Puertos De Cobre y 2 Puerto Combo,1783-CMS20DB,RISOUL,USD,30/11/2024,,12/30/1899,,,0,,2.19,Allen Bradley,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet T Serie 3 Con Tapa de 1-1/2"", T-53",12143127,BRICOS (MAYOREO ELECTRICO),MXN,06/02/2025,SURTIDOR ELECTRICO,12/30/1899,29/08/2025,,0,,171,Crouse Hinds,MXN,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,Cepillo Limpiador De Molde Exotermico,T-394,RISOUL,USD,02/07/2025,,12/30/1899,,,0,,10,CADWELD,,
TUBERIA CONDUIT,Tramo,material,"Tubo Conduit Pared Gruesa de Acero Galvanizado con Cople de 1-1/4"", OM",MET-1514,IMPULSORA,MXN,24/02/2026,,12/30/1899,,,0,,355,OMEGA,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Variador Powerflex 523 AC Drive, 480 VCA, 3 fases, 37A 25HP, 18.5kW, ND; 20HP HD Con Filtro",25A-D037N114,RISOUL,USD,29/01/2025,,0,,,0,,2.73,Allen Bradley,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Riel Din De 245mm Para Montaje De PLC SIMATIC S7-1500,6ES7590-1AC40-0AA0,USIICSA,MXN,03/03/2025,,0,,,0,,1.115,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cubierta de plastico para block de distribuci�n XT5, 3 polos, 760 A. Marca (SQ-D)",LCH134-3,,,,,0,,,0,,0,SquareD,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Conduit de PVC Uso Pesado de 1-1/4"" C/Tuerca",204048,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,12/30/1899,,,0,,8,DEPLAYUSA,,
HARDWARE Y SOFTWARE,Paquete,equipos y componentes,"Office BASICO Hogar y Empresas 2024 Para 1PC (Word, Excel y PowerPoint), Lic.Perpetua",Home&Business24,Microsoft Corporation,MXN,26/11/2024,,0,,,0,,6.5,Microsoft,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Clema porta fusible tipo WTR 2.5/SI 10-36V AC/DC, conexi�n brida-tornillo",1763950000,,,,,12/30/1899,,,0,,0,WEIDM�LLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Gabinete Metalico AX 1200X800X300 con Platina,1280000,SIEN,MXN,09/08/2024,,0,,,0,,7.6,Rittal,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contactor trifasico, bobina 24VDC,440VCA,15HP,45A",1SBL1236001R2100,,,,,0,,,0,,0,ABB,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet LB serie 3 con tapa de 2-1/2""",LB73,BRICOS (MAYOREO ELECTRICO),MXN,01/07/2025,,0,,,0,,722,NEWCOND,,
CABLES DE CONTROL,mts,material,"Cable Blindado 4x18 Con Pantalla y Drain, 300V",F-18-CU-P-4H-MA-B-P 300V,ELECTRONICA INDUSTRIAL MOCLOVA,MXN,23/01/2026,,0,,,0,,43,EIM,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Relevador Mini 8Amp 24Vac 2P2T 8Pin,46.62.8.024.0040,ACOMEE,MXN,03/03/2025,,0,,,0,,180,Finder,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Carga Exotermica No. 150,10050371,ACOMEE,MXN,09/10/2024,,0,,,0,,310,BurndyWeld,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo LR De de Aluminio De 1-1/2"", CL-I, Div2, serie 85, Con Recubrimiento de PVC e interior de uretano amarillo",RYC-LR150A,RISOUL,MXN,10/02/2026,,0,,,0,,1.37,Repsa,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Procesador De Frecuencia/Velocidad Con Pantalla LCD,X3MA-FA2 24VAC/VDC,,,,,1899-12-30,,,0,,0,OMRON,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cabezal boton selector no iluminado, retorno al centro, 3 posiciones, color negro, 22mm",1SFA611211R1006,ACOMEE,MXN,10/10/2025,,0,,,0,,232,ABB,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Tapon Macho De Acero Inoxidable 1/2'' NPT,"TG-TaponMSS/1/2""",CMINOX,MXN,05/05/2025,,0,,,0,,100,Sin Especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Bloque Led Luz Piloto, Color Rojo, 22mm, 110-130VCA, MLBL-04R",1SFA611621R1041,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,15/01/2026,ACOMEE,0,09/12/2025,,0,,170,ABB,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Guarda motor trifasico, 440VCA, 50HP, 52-65A",1SAM451000R1017,,,,,12/30/1899,,,0,,0,ABB,,
ACCESORIOS PARA CABLES,Pza,material,"Terminal universal de aluminio, 1 orificio, dos: 6 AWG (Str)-300 kcmil, perno de 5/16"", 2 tornillos, clasificaci�n Al/Cu, esta�ado.",K11A30U,Grainger,MXN,02/12/2024,,0,,,0,,1.665,Burndy,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 16 AWG THW-LS/THHW-LS 600V, Color Rojo. GC",C15CD00016PARO,RISOUL,MXN,09/02/2026,,0,,,0,,6,General Cable,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Conduit de PVC Uso Pesado de 3/4"" C/Tuerca",CONPT19,,,,,0,,,0,,0,DEPLAYUSA,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Puente de 10 polos comun para base de relevador,1132080000,,,,,0,,,0,,0,WEIDM�LLER,,
CABLES DE CONTROL,mts,material,Cable para se�ales an�logas de 5x18 con Pantalla y Dren,TG-XX-CANALOG5X18-PD,,,,,0,,,0,,0,Sin especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contacto Auxiliar Para Desconectador, 1-NA, 16A, para OT16 hasta OT2500",OA1G10,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,09/09/2024,,0,,,0,,290,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador De Estado Solido SMC-FLEX, Tipo Abierto, 317A, 125-250 HP @ 460 VCA, Entrada 200-480 VCA 3 Fases, Control",150-F317NBD,RISOUL,USD,29/01/2025,,0,,,0,,6.515,Allen Bradley,,
